AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment_nanbool,AssetsCurrent,AssetsCurrent_nanbool,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue_nanbool,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsPeriodIncreaseDecrease_nanbool,CommonStockParOrStatedValuePerShare,CommonStockParOrStatedValuePerShare_nanbool,CommonStockSharesAuthorized,CommonStockSharesAuthorized_nanbool,CommonStockSharesIssued,CommonStockSharesIssued_nanbool,CommonStockSharesOutstanding,CommonStockSharesOutstanding_nanbool,CommonStockValue,CommonStockValue_nanbool,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowance_nanbool,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit_nanbool,InterestExpense,InterestExpense_nanbool,InterestPaid,InterestPaid_nanbool,Liabilities,Liabilities_nanbool,LiabilitiesAndStockholdersEquity,LiabilitiesAndStockholdersEquity_nanbool,LiabilitiesCurrent,LiabilitiesCurrent_nanbool,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivities_nanbool,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivities_nanbool,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities_nanbool,NetIncomeLoss,NetIncomeLoss_nanbool,OperatingIncomeLoss,OperatingIncomeLoss_nanbool,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment_nanbool,PreferredStockSharesAuthorized,PreferredStockSharesAuthorized_nanbool,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentGross_nanbool,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentNet_nanbool,RetainedEarningsAccumulatedDeficit,RetainedEarningsAccumulatedDeficit_nanbool,ShareBasedCompensation,ShareBasedCompensation_nanbool,StockholdersEquity,StockholdersEquity_nanbool,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfSharesOutstandingBasic_nanbool,Targets(Assets)
2427003000.0,0,3132270000.0,0,97877000.0,0,43811000.0,0,0.01,0,150000000.0,0,81070000.0,0,0.0,1,811000.0,0,300472000.0,0,131637000.0,0,98207000.0,0,109451000.0,0,3862731000.0,0,8285544000.0,0,1955814000.0,0,-25550000.0,0,-565652000.0,0,662188000.0,0,531965000.0,0,772796000.0,0,561804000.0,0,60000.0,0,5130213000.0,0,2703210000.0,0,3487079000.0,0,27961000.0,0,4418006000.0,0,72837000.0,0,0.0
226366000.0,0,281322000.0,0,5281000.0,0,0.0,1,1.0,0,60000000.0,0,16500000.0,0,16500000.0,0,16478000.0,0,8457000.0,0,34362000.0,0,3483000.0,0,0.0,1,0.0,1,645067000.0,0,158295000.0,0,0.0,1,0.0,1,0.0,1,0.0,1,83603000.0,0,50355000.0,0,0.0,1,381442000.0,0,155076000.0,0,185229000.0,0,4103000.0,0,290605000.0,0,16429000.0,0,1.0
0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.0,1,0.0,1,0.0,1,0.0,1,0.0,0,100000000.0,0,10000000.0,0,10000000.0,0,1000.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,2550.0,0,5462.0,0,0.0,1,-5462.0,0,-8012.0,0,0.0,1,0.0,1,5000000.0,0,0.0,1,0.0,1,-11645.0,0,0.0,1,-2550.0,0,10000000.0,0,0.0
174463000.0,0,529321000.0,0,71994000.0,0,-48620000.0,0,0.01,0,60000000.0,0,41644000.0,0,0.0,1,416000.0,0,7300000.0,0,8975000.0,0,21967000.0,0,10900000.0,0,874303000.0,0,1578625000.0,0,126025000.0,0,242784000.0,0,-363317000.0,0,79463000.0,0,34004000.0,0,65541000.0,0,41921000.0,0,15000000.0,0,384449000.0,0,209986000.0,0,314960000.0,0,15105000.0,0,704322000.0,0,32432000.0,0,0.0
0.0,1,0.0,1,0.0,1,0.0,1,0.0,0,100000000.0,0,10000000.0,0,0.0,1,1000.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,3720.0,0,4634.0,0,0.0,1,-4634.0,0,-8354.0,0,0.0,1,0.0,1,5000000.0,0,0.0,1,0.0,1,-12498.0,0,0.0,1,-3720.0,0,10000000.0,0,0.0
1031000.0,0,46642000.0,0,6033000.0,0,4276000.0,0,0.001,0,150000000.0,0,129714000.0,0,129714000.0,0,130000.0,0,4887000.0,0,-6550000.0,0,843000.0,0,543000.0,0,49226000.0,0,126542000.0,0,27854000.0,0,30585000.0,0,-12006000.0,0,-14303000.0,0,-5180000.0,0,-10900000.0,0,485000.0,0,5000000.0,0,2242000.0,0,1211000.0,0,-72291000.0,0,1711000.0,0,77316000.0,0,0.0,1,0.0
1978984.0,0,2906788.0,0,399149.0,0,-298097.0,0,0.001,0,50000000.0,0,19995969.0,0,19995969.0,0,19996.0,0,8152539.0,0,30565.0,0,75060.0,0,25060.0,0,0.0,1,5544796.0,0,3441735.0,0,0.0,1,0.0,1,0.0,1,0.0,1,105415.0,0,0.0,1,10000000.0,0,2414252.0,0,435268.0,0,-20974904.0,0,0.0,1,2032314.0,0,19995969.0,0,0.0
254732.0,0,13934696.0,0,3669790.0,0,827823.0,0,0.01,0,12500000.0,0,3114163.0,0,1962062.0,0,31142.0,0,0.0,1,152000.0,0,0.0,1,0.0,1,4948346.0,0,14051280.0,0,0.0,1,-109435.0,0,223736.0,0,713522.0,0,192711.0,0,432465.0,0,25264.0,0,500000.0,0,293663.0,0,38931.0,0,17412658.0,0,0.0,1,9032665.0,0,0.0,1,0.0
31860000.0,0,266238000.0,0,180337000.0,0,-63449000.0,0,0.0,0,200000000.0,0,38665000.0,0,38665000.0,0,4000.0,0,90929000.0,0,-313000.0,0,0.0,1,2582000.0,0,367777000.0,0,424250000.0,0,158283000.0,0,10396000.0,0,-95120000.0,0,21275000.0,0,-64239000.0,0,-51109000.0,0,14988000.0,0,5000000.0,0,50578000.0,0,18718000.0,0,-274248000.0,0,31004000.0,0,56473000.0,0,0.0,1,0.0
